phi_1,epsilon_1_eq_epsilon_2,a
0.02,0.0,-0.06753058434151629
0.03576271186440678,0.0,-0.06775790550920874
0.05152542372881355,0.0,-0.06796464654118842
0.06728813559322033,0.0,-0.06815348118719407
0.08305084745762711,0.0,-0.06832663926115806
0.0988135593220339,0.0,-0.06848599510523141
0.11457627118644066,0.0,-0.06863313571048446
0.13033898305084743,0.0,-0.0687694137507006
0.1461016949152542,0.0,-0.06889598928872855
0.161864406779661,0.0,-0.0690138628810209
0.17762711864406777,0.0,-0.06912390208135734
0.19338983050847455,0.0,-0.06922686282988136
0.2091525423728813,0.0,-0.0693234068431054
0.2249152542372881,0.0,-0.0694141158508214
0.24067796610169487,0.0,-0.06949950332734567
0.25644067796610165,0.0,-0.06958002421692658
0.27220338983050846,0.0,-0.06965608304235209
0.2879661016949152,0.0,-0.06972804070188512
0.303728813559322,0.0,-0.06979622019557205
0.3194915254237288,0.0,-0.06986091147263776
0.3352542372881356,0.0,-0.0699223755534284
0.35101694915254233,0.0,-0.06998084804948305
0.36677966101694914,0.0,-0.07003654218182928
0.3825423728813559,0.0,-0.07008965137901346
0.39830508474576265,0.0,-0.0701403515215883
0.41406779661016946,0.0,-0.070188802887941
0.4298305084745762,0.0,-0.07023515184682098
0.445593220338983,0.0,-0.07027953233421903
0.4613559322033898,0.0,-0.07032206714598724
0.4771186440677966,0.0,-0.0703628690724731
0.49288135593220334,0.0,-0.07040204189724611
0.5086440677966101,0.0,-0.07043968127853685
0.5244067796610169,0.0,-0.07047587552915002
0.5401694915254237,0.0,-0.07051070630823714
0.5559322033898304,0.0,-0.07054424923633552
0.5716949152542372,0.0,-0.07057657444342322
0.587457627118644,0.0,-0.07060774705834942
0.6032203389830508,0.0,-0.07063782764682824
0.6189830508474575,0.0,-0.07066687260419423
0.6347457627118643,0.0,-0.07069493450827785
0.6505084745762711,0.0,-0.07072206243704773
0.6662711864406778,0.0,-0.07074830225505555
0.6820338983050847,0.0,-0.07077369687220154
0.6977966101694915,0.0,-0.0707982864778911
0.7135593220338983,0.0,-0.07082210875327086
0.729322033898305,0.0,-0.07084519906390069
0.7450847457627118,0.0,-0.0708675906349347
0.7608474576271186,0.0,-0.07088931471063581
0.7766101694915253,0.0,-0.07091040069983359
0.7923728813559321,0.0,-0.07093087630875161
0.8081355932203389,0.0,-0.07095076766246314
0.8238983050847457,0.0,-0.070970099416097
0.8396610169491524,0.0,-0.07098889485678772
0.8554237288135592,0.0,-0.07100717599725667
0.871186440677966,0.0,-0.07102496366181482
0.8869491525423728,0.0,-0.07104227756549397
0.9027118644067795,0.0,-0.07105913638693798
0.9184745762711863,0.0,-0.07107555783562079
0.9342372881355931,0.0,-0.07109155871390038
0.95,0.0,-0.07110715497436457
0.02,0.001,-0.06678472518430995
0.03576271186440678,0.001,-0.06702649516255255
0.05152542372881355,0.001,-0.06724650086374252
0.06728813559322033,0.001,-0.067447554556554
0.08305084745762711,0.001,-0.06763200400082901
0.0988135593220339,0.001,-0.06780182454939013
0.11457627118644066,0.001,-0.06795869017162302
0.13033898305084743,0.001,-0.0681040288199578
0.1461016949152542,0.001,-0.06823906602340254
0.161864406779661,0.001,-0.06836485952875634
0.17762711864406777,0.001,-0.0684823270633652
0.19338983050847455,0.001,-0.06859226876181802
0.2091525423728813,0.001,-0.06869538541597753
0.2249152542372881,0.001,-0.06879229342851535
0.24067796610169487,0.001,-0.06888353714433314
0.25644067796610165,0.001,-0.06896959908106037
0.27220338983050846,0.001,-0.06905090846469168
0.2879661016949152,0.001,-0.06912784838914246
0.303728813559322,0.001,-0.06920076185177128
0.3194915254237288,0.001,-0.06926995686550176
0.3352542372881356,0.001,-0.06933571080826585
0.35101694915254233,0.001,-0.06939827413929703
0.36677966101694914,0.001,-0.06945787358725454
0.3825423728813559,0.001,-0.06951471489572857
0.39830508474576265,0.001,-0.06956898519619668
0.41406779661016946,0.001,-0.06962085506610542
0.4298305084745762,0.001,-0.06967048031976779
0.445593220338983,0.001,-0.06971800357168702
0.4613559322033898,0.001,-0.06976355560534446
0.4771186440677966,0.001,-0.06980725657512071
0.49288135593220334,0.001,-0.06984921706460966
0.5086440677966101,0.001,-0.06988953902095285
0.5244067796610169,0.001,-0.06992831658181432
0.5401694915254237,0.001,-0.06996563680911771
0.5559322033898304,0.001,-0.07000158034158359
0.5716949152542372,0.001,-0.07003622197636056
0.587457627118644,0.001,-0.07006963118857978
0.6032203389830508,0.001,-0.07010187259642696
0.6189830508474575,0.001,-0.07013300637828257
0.6347457627118643,0.001,-0.07016308864759735
0.6505084745762711,0.001,-0.0701921717904146
0.6662711864406778,0.001,-0.07022030476981178
0.6820338983050847,0.001,-0.07024753340098273
0.6977966101694915,0.001,-0.07027390060021163
0.7135593220338983,0.001,-0.07029944661058457
0.729322033898305,0.001,-0.0703242092069353
0.7450847457627118,0.001,-0.07034822388222116
0.7608474576271186,0.001,-0.07037152401726206
0.7766101694915253,0.001,-0.07039414103555042
0.7923728813559321,0.001,-0.07041610454464167
0.8081355932203389,0.001,-0.07043744246546264
0.8238983050847457,0.001,-0.0704581811507264
0.8396610169491524,0.001,-0.07047834549350832
0.8554237288135592,0.001,-0.07049795902692482
0.871186440677966,0.001,-0.07051704401575375
0.8869491525423728,0.001,-0.07053562154074607
0.9027118644067795,0.001,-0.07055371157630036
0.9184745762711863,0.001,-0.0705713330621022
0.9342372881355931,0.001,-0.07058850396926734
0.95,0.001,-0.07060524136147603
0.02,0.02,-0.055393650525676255
0.03576271186440678,0.02,-0.05581113671869849
0.05152542372881355,0.02,-0.056194465899208644
0.06728813559322033,0.02,-0.056547665205762945
0.08305084745762711,0.02,-0.05687415264554854
0.0988135593220339,0.02,-0.057176848066988764
0.11457627118644066,0.02,-0.0574582607246232
0.13033898305084743,0.02,-0.057720559000989664
0.1461016949152542,0.02,-0.05796562638800366
0.161864406779661,0.02,-0.05819510678660947
0.17762711864406777,0.02,-0.058410441429273305
0.19338983050847455,0.02,-0.05861289917864247
0.2091525423728813,0.02,-0.05880360154847758
0.2249152542372881,0.02,-0.05898354348914729
0.24067796610169487,0.02,-0.05915361075118503
0.25644067796610165,0.02,-0.05931459446660479
0.27220338983050846,0.02,-0.05946720345456075
0.2879661016949152,0.02,-0.05961207465519205
0.303728813559322,0.02,-0.05974978201561566
0.3194915254237288,0.02,-0.05988084408949618
0.3352542372881356,0.02,-0.06000573056234825
0.35101694915254233,0.02,-0.06012486787566016
0.36677966101694914,0.02,-0.06023864409177258
0.3825423728813559,0.02,-0.06034741311646004
0.39830508474576265,0.02,-0.060451498376019534
0.41406779661016946,0.02,-0.060551196029347366
0.4298305084745762,0.02,-0.06064677778219576
0.445593220338983,0.02,-0.06073849335992856
0.4613559322033898,0.02,-0.06082657268616513
0.4771186440677966,0.02,-0.060911227807330166
0.49288135593220334,0.02,-0.0609926545970254
0.5086440677966101,0.02,-0.06107103426906028
0.5244067796610169,0.02,-0.06114653472374265
0.5401694915254237,0.02,-0.061219311748480464
0.5559322033898304,0.02,-0.061289510090761896
0.5716949152542372,0.02,-0.06135726441906551
0.587457627118644,0.02,-0.06142270018512286
0.6032203389830508,0.02,-0.0614859343991501
0.6189830508474575,0.02,-0.06154707632812729
0.6347457627118643,0.02,-0.06160622812589178
0.6505084745762711,0.02,-0.061663485402690135
0.6662711864406778,0.02,-0.06171893774086674
0.6820338983050847,0.02,-0.061772669162541156
0.6977966101694915,0.02,-0.06182475855440872
0.7135593220338983,0.02,-0.06187528005418133
0.729322033898305,0.02,-0.06192430340265047
0.7450847457627118,0.02,-0.0619718942648874
0.7608474576271186,0.02,-0.062018114523692436
0.7766101694915253,0.02,-0.06206302254804967
0.7923728813559321,0.02,-0.0621066734390375
0.8081355932203389,0.02,-0.06214911925537201
0.8238983050847457,0.02,-0.06219040922052492
0.8396610169491524,0.02,-0.06223058991314893
0.8554237288135592,0.02,-0.062269705442358596
0.871186440677966,0.02,-0.062307797609253715
0.8869491525423728,0.02,-0.062344906055929426
0.9027118644067795,0.02,-0.06238106840308832
0.9184745762711863,0.02,-0.06241632037725997
0.9342372881355931,0.02,-0.062450695928531655
0.95,0.02,-0.062484227339606006
0.02,0.1,-0.03355198617374808
0.03576271186440678,0.1,-0.034059806603632586
0.05152542372881355,0.1,-0.034535826854812345
0.06728813559322033,0.1,-0.03498294327561202
0.08305084745762711,0.1,-0.03540371084713324
0.0988135593220339,0.1,-0.035800392036244036
0.11457627118644066,0.1,-0.03617499749240455
0.13033898305084743,0.1,-0.03652932013396857
0.1461016949152542,0.1,-0.0368649638436718
0.161864406779661,0.1,-0.03718336774242461
0.17762711864406777,0.1,-0.03748582681640254
0.19338983050847455,0.1,-0.037773509520982566
0.2091525423728813,0.1,-0.038047472866125844
0.2249152542372881,0.1,-0.03830867539379471
0.24067796610169487,0.1,-0.03855798838323311
0.25644067796610165,0.1,-0.038796205560155485
0.27220338983050846,0.1,-0.039024051537816386
0.2879661016949152,0.1,-0.03924218917907819
0.303728813559322,0.1,-0.03945122603703429
0.3194915254237288,0.1,-0.0396517200059889
0.3352542372881356,0.1,-0.03984418429347999
0.35101694915254233,0.1,-0.040029091806649084
0.36677966101694914,0.1,-0.040206879031889305
0.3825423728813559,0.1,-0.040377949474775236
0.39830508474576265,0.1,-0.040542676717340666
0.41406779661016946,0.1,-0.04070140714145992
0.4298305084745762,0.1,-0.04085446236011613
0.445593220338983,0.1,-0.04100214139246865
0.4613559322033898,0.1,-0.041144722613673725
0.4771186440677966,0.1,-0.041282465506210314
0.49288135593220334,0.1,-0.04141561223589286
0.5086440677966101,0.1,-0.04154438907270917
0.5244067796610169,0.1,-0.04166900767402074
0.5401694915254237,0.1,-0.04178966624543353
0.5559322033898304,0.1,-0.04190655059273193
0.5716949152542372,0.1,-0.04201983507661879
0.587457627118644,0.1,-0.042129683480579445
0.6032203389830508,0.1,-0.04223624980095501
0.6189830508474575,0.1,-0.042339678967239745
0.6347457627118643,0.1,-0.04244010749968786
0.6505084745762711,0.1,-0.042537664110504136
0.6662711864406778,0.1,-0.042632470254185595
0.6820338983050847,0.1,-0.04272464063196171
0.6977966101694915,0.1,-0.04281428365473897
0.7135593220338983,0.1,-0.042901501868477854
0.729322033898305,0.1,-0.04298639234551146
0.7450847457627118,0.1,-0.0430690470449458
0.7608474576271186,0.1,-0.04314955314495407
0.7766101694915253,0.1,-0.04322799334948958
0.7923728813559321,0.1,-0.04330444617168604
0.8081355932203389,0.1,-0.043378986195986145
0.8238983050847457,0.1,-0.043451684320838534
0.8396610169491524,0.1,-0.04352260798362297
0.8554237288135592,0.1,-0.04359182136930382
0.871186440677966,0.1,-0.04365938560416874
0.8869491525423728,0.1,-0.0437253589358816
0.9027118644067795,0.1,-0.04378979690096493
0.9184745762711863,0.1,-0.04385275248072302
0.9342372881355931,0.1,-0.04391427624652704
0.95,0.1,-0.04397441649529855
0.02,0.3,-0.01906327649404897
0.03576271186440678,0.3,-0.019425968020292488
0.05152542372881355,0.3,-0.019773125394304154
0.06728813559322033,0.3,-0.020105725688356127
0.08305084745762711,0.3,-0.02042466571581544
0.0988135593220339,0.3,-0.020730770106127547
0.11457627118644066,0.3,-0.0210247984241054
0.13033898305084743,0.3,-0.021307451462931774
0.1461016949152542,0.3,-0.02157937682063663
0.161864406779661,0.3,-0.021841173853458185
0.17762711864406777,0.3,-0.02209339808583406
0.19338983050847455,0.3,-0.02233656514531468
0.2091525423728813,0.3,-0.022571154281054318
0.2249152542372881,0.3,-0.022797611516402732
0.24067796610169487,0.3,-0.023016352479233802
0.25644067796610165,0.3,-0.023227764947800107
0.27220338983050846,0.3,-0.02343221114492141
0.2879661016949152,0.3,-0.023630029809061013
0.303728813559322,0.3,-0.023821538067200415
0.3194915254237288,0.3,-0.024007033131293994
0.3352542372881356,0.3,-0.024186793837392098
0.35101694915254233,0.3,-0.02436108204419646
0.36677966101694914,0.3,-0.02453014390580097
0.3825423728813559,0.3,-0.02469421103162756
0.39830508474576265,0.3,-0.024853501545051736
0.41406779661016946,0.3,-0.02500822105089306
0.4298305084745762,0.3,-0.025158563520794208
0.445593220338983,0.3,-0.025304712104505862
0.4613559322033898,0.3,-0.025446839874211466
0.4771186440677966,0.3,-0.025585110508252733
0.49288135593220334,0.3,-0.025719678919934267
0.5086440677966101,0.3,-0.02585069183648652
0.5244067796610169,0.3,-0.025978288332735855
0.5401694915254237,0.3,-0.02610260032356247
0.5559322033898304,0.3,-0.026223753018811975
0.5716949152542372,0.3,-0.026341865343958572
0.587457627118644,0.3,-0.026457050329490403
0.6032203389830508,0.3,-0.02656941547169746
0.6189830508474575,0.3,-0.02667906306728251
0.6347457627118643,0.3,-0.026786090523984403
0.6505084745762711,0.3,-0.026890590649196366
0.6662711864406778,0.3,-0.026992651918376732
0.6820338983050847,0.3,-0.027092358724883588
0.6977966101694915,0.3,-0.027189791612716323
0.7135593220338983,0.3,-0.02728502749351284
0.729322033898305,0.3,-0.02737813984903138
0.7450847457627118,0.3,-0.02746919892023699
0.7608474576271186,0.3,-0.027558271884015585
0.7766101694915253,0.3,-0.027645423018449505
0.7923728813559321,0.3,-0.02773071385750954
0.8081355932203389,0.3,-0.0278142033359454
0.8238983050847457,0.3,-0.027895947925091896
0.8396610169491524,0.3,-0.027976001760248247
0.8554237288135592,0.3,-0.028054416760234405
0.871186440677966,0.3,-0.02813124273967926
0.8869491525423728,0.3,-0.028206527514550984
0.9027118644067795,0.3,-0.028280317001399307
0.9184745762711863,0.3,-0.02835265531074262
0.9342372881355931,0.3,-0.028423584834998808
0.95,0.3,-0.028493146331328514
