Time,S_baseline,E_baseline,I_baseline,H_baseline,M_baseline,R_baseline,D_baseline,S_endemic,E_endemic,I_endemic,H_endemic,M_endemic,R_endemic,D_endemic
0.0,995.0,3.0,2.0,0.0,0.0,0.0,0.0,995.0,3.0,2.0,0.0,0.0,0.0,0.0
0.1000667111407605,994.4501494438505,2.9767969071318223,1.9684938666286178,0.005419218176415751,0.014167652567069325,0.00024968083404428395,0.0389278122758175,994.4076035900014,3.0191407912220263,1.9686938551493152,0.005419406651267575,0.014168129039765285,0.0002496850130162197,0.038929124578167516
0.200133422281521,993.9006995652444,2.9537450536755103,1.9377083055669522,0.010134550237423521,0.028236205947552818,0.0009548073593458182,0.07726743289487704,993.8161278462599,3.0375149189257313,1.9384945056242797,0.01013599485380589,0.028239980397268015,0.0009548733781806373,0.07727780449213445
0.3002001334222815,993.3516480101109,2.930844959206103,1.907623304622683,0.014234749660568494,0.042185224202724594,0.0020558357814839524,0.1150314055204853,993.2255480583634,3.0551540621725004,1.9093620055431526,0.014239423127653377,0.04219782808770075,0.002056159468201699,0.115065967393013
0.400266844563042,992.8029925039883,2.9080970663914156,1.8782194493836526,0.01779745355142228,0.055997525646862084,0.00350073063801583,0.15223203452285347,992.6358405027942,3.07208862161454,1.88125788394463,0.01780807902705058,0.05602707996069897,0.0035017198426630864,0.15231292401804014
0.5003335557038026,992.2547308476417,2.8855017455636154,1.8494779058324775,0.020890594771846033,0.0696587507637729,0.005244009072241041,0.18888137776492125,992.0469823962545,3.0883477772379937,1.8541450908262174,0.020910510317902996,0.06971584730217402,0.005246345858824665,0.18903737737477488
0.600400266844563,991.7068609135504,2.863059298250467,1.8213804052752252,0.023573463471964033,0.08315703807545496,0.007246022451781288,0.22499124251475627,991.4589518575854,3.1039595356765206,1.8279879516315916,0.02360650614570134,0.08325462086867376,0.007250713028735952,0.22525743216445648
0.7004669779853235,991.1593806410427,2.840769962095803,1.793909222230464,0.025898115806543397,0.09648259465051907,0.009472003107632758,0.26057318135002966,990.8717278542734,3.118950796965768,1.8027521017569947,0.025948526821015207,0.096635843741219,0.009480414970187997,0.2609906099846732
0.800533689126084,990.6122880339465,2.8186339133247165,1.7670471618015486,0.027909957563587908,0.10962751921333952,0.011891669525883965,0.2956384926208045,990.2852901748232,3.133347389546128,1.7784044500359761,0.027982289292595743,0.1098537387476293,0.011905568168577666,0.296253860555015
0.9006004002668445,990.0655811570368,2.7966512704079194,1.7407775419498215,0.02964869404800782,0.12258551339298002,0.01447858367548324,0.3301982194431968,989.6996193878563,3.147174121715014,1.7549131265588198,0.02974774084946772,0.12290401939290782,0.014500154353036162,0.33106357597858127
1.0006671114076051,989.5192581330831,2.774822097161696,1.715084177531825,0.0311490588753818,0.1353516608945072,0.017209658006580503,0.36426315039969437,989.1146968073073,3.160454825730659,1.7322474366120646,0.03127979317237215,0.13578367355326418,0.017241524966506168,0.3654356049606709
1.1007338225483656,988.9733171402167,2.7531464055486845,1.6899513651899187,0.03244141986498847,0.14792224446641147,0.02006474565309704,0.3978438212680697,988.5305044604067,3.1732123985881153,1.7103778172641735,0.032608938476309024,0.14849078305812174,0.02010998539939843,0.39938526719489476
1.200800533689126,988.4277564094233,2.731624158364836,1.665363868498946,0.033552333424049195,0.16029457873990374,0.023026265510510673,0.43095051724523403,987.947025056817,3.185468841434631,1.6892757949586281,0.033761811866536165,0.16102435969137266,0.02308841561603589,0.432927367928834
1.3008672448298866,987.8825742222684,2.7102552717087804,1.6413069037084564,0.03450500839435266,0.17246687092225285,0.026078888608987473,0.4635932759501903,987.3642419599416,3.1972452963852676,1.6689139451771322,0.03476166184646353,0.1733842091466276,0.026161952914569093,0.46607621265583504
1.400933955970647,987.3377689087207,2.689039617356129,1.6177661257964244,0.035319734753645304,0.18443809227874736,0.029209248277372916,0.49578189067980877,986.7821391592287,3.2085620821299705,1.6492658531620197,0.03562878547084166,0.18557080567976225,0.029317698594355984,0.4988456217202286
1.5010006671114076,986.7933388451575,2.667977024960658,1.5947276150441954,0.03601424435824684,0.19620787050023533,0.03240569631353822,0.5275259142035732,986.2007012442469,3.21943872739985,1.6303060764294914,0.03638089439593635,0.19758518773702322,0.032544471361915454,0.5312489448972616
1.601067378252168,986.2492824524696,2.64706728415685,1.572177863967549,0.03660403805159594,0.20777639237815843,0.03565808192046848,0.5588346627644332,985.619913379841,3.229894003108038,1.6120101084944691,0.03703344593869114,0.20942886413122103,0.03583258439261344,0.5632990758032272
1.7011340893929285,985.7055981943162,2.6263101465185734,1.5501037647150964,0.03710265922157106,0.21914432292048885,0.03895756689305406,0.58971722046937,985.0397612827625,3.2399459526946472,1.5943543441609276,0.03759992094247797,0.2211037363194317,0.039173658363657576,0.5950084661898295
1.801200800533689,985.1622845754649,2.6057053274284745,1.5284925968284686,0.03752194028858819,0.23031273274095307,0.042296459124298975,0.6201824437993909,984.4602311993045,3.2496119212214083,1.5773160460222264,0.038092073720231615,0.2326120290397008,0.04256045335559439,0.6263891399778224
