Time,Minuscule_Outbreak_S,Minuscule_Outbreak_E,Minuscule_Outbreak_I,Minuscule_Outbreak_H,Minuscule_Outbreak_M,Minuscule_Outbreak_R,Minuscule_Outbreak_D,Tiny_Outbreak_S,Tiny_Outbreak_E,Tiny_Outbreak_I,Tiny_Outbreak_H,Tiny_Outbreak_M,Tiny_Outbreak_R,Tiny_Outbreak_D,Small_Outbreak_S,Small_Outbreak_E,Small_Outbreak_I,Small_Outbreak_H,Small_Outbreak_M,Small_Outbreak_R,Small_Outbreak_D,Medium_Outbreak_S,Medium_Outbreak_E,Medium_Outbreak_I,Medium_Outbreak_H,Medium_Outbreak_M,Medium_Outbreak_R,Medium_Outbreak_D,Large_Outbreak_S,Large_Outbreak_E,Large_Outbreak_I,Large_Outbreak_H,Large_Outbreak_M,Large_Outbreak_R,Large_Outbreak_D
0.0,999.9,0.05,0.05,0.0,0.0,0.0,0.0,999.0,0.5,0.5,0.0,0.0,0.0,0.0,995.0,3.0,2.0,0.0,0.0,0.0,0.0,950.0,25.0,25.0,0.0,0.0,0.0,0.0,900.0,50.0,50.0,0.0,0.0,0.0,0.0
0.10003334444814939,999.3539410592265,0.049988074462092434,0.04898124626127917,0.00014090832639481344,0.0003533183651382635,3.5635621235205767e-07,0.0009705953153070696,998.4500375422862,0.49987630741496775,0.4898125582927433,0.0014090296681005588,0.003533193606087166,3.5683670421903153e-06,0.009705885413645357,994.4376325808231,2.989444497981531,1.9685639395185301,0.005649541394722223,0.014166190901381572,1.4296900943393513e-05,0.03891547053119453,949.2495123456688,24.98184856094093,24.490571397971575,0.07045141632993115,0.17665953327151754,0.0001784192394648909,0.48529385662466235,899.0691938214004,49.93926936089305,48.98102726730178,0.14090273537766249,0.35331878736629885,0.00035683707741403713,0.9705869701391445
0.20006668889629878,998.8082047999478,0.04996822109607817,0.04799266387879381,0.00027381658664032656,0.000702985095348546,1.4003227158970332e-06,0.0019220822066851266,997.9004730349608,0.49967356920294725,0.47992652470089847,0.002738186829477748,0.007029842167378985,1.4001279022842737e-05,0.019220839465639912,993.8758216964012,2.9787653191736836,1.9379632200976802,0.011005127555123742,0.02825169568065055,5.6180657362613224e-05,0.07724633109681942,948.5032645901986,24.96011399823062,23.996103726389613,0.13690931542041151,0.3514909248298744,0.000700026557141911,0.9610394693582074,898.1460396490802,49.87211442898079,47.99175470162321,0.27381777307447747,0.7029796709507142,0.0014000499867027852,1.9220729719759588
0.3001000333444482,998.2627907517688,0.04994079846245988,0.047033250164657016,0.0003991796241858109,0.0010489199310969033,3.0911630845452064e-06,0.0028550431849828236,997.351303550869,0.49939525350421615,0.47033218383975983,0.0039918687530710924,0.010489177487544835,3.0904997008233047e-05,0.028550507783161927,993.3145595827846,2.967971075080929,1.9081718930743095,0.016082330210515496,0.04225148258055871,0.00012420454013405572,0.11500806363566854,947.761130276583,24.93495509662981,23.516119369561068,0.19959254236397483,0.524455157982687,0.0015451983744011989,1.4275161621929418,897.2303053546409,49.7988251239785,47.03124044057637,0.3991822388865234,1.0489030574561533,0.003090384611981004,2.85501245675428
0.40013337779259756,997.7176984666675,0.04990614197940437,0.046102062850783464,0.0005174150988884918,0.001391056406993415,5.39155789382079e-06,0.0037700264193272492,996.8025262704822,0.49904468648310213,0.4610201798183343,0.0051742230643132565,0.01391053946427426,5.390890871122467e-05,0.03770033385179652,992.7538387384828,2.957070035343542,1.8791648504063132,0.020895916689518332,0.05616096471135229,0.00021699796732870574,0.1522156811170029,947.0229872511791,24.90652486010316,23.05015632056045,0.25870840619414315,0.6955185042922813,0.002695383977783572,1.8849944638032512,896.3217665629555,49.719680912820266,46.09857324897885,0.5174101954765851,1.3910200333271314,0.005390734387906176,3.7699425042284127
0.500166722240747,997.1729275140534,0.04986456832310527,0.04519820830792981,0.0006289101739389189,0.0017293396885745519,8.266993551783759e-06,0.004667552490563276,996.2541384634596,0.4986250745433678,0.45198145578189985,0.0062891807894695515,0.01729336621492631,8.266251521152415e-05,0.04667559385419934,992.1936519215628,2.9460701324829297,1.850917818658484,0.025459874190611128,0.06997598015518351,0.00033326412802901865,0.18888372979471352,946.2887175370269,24.87497068472871,22.597767750978573,0.3144532014321584,0.8646521971558631,0.004133055714002471,2.333736342094487,895.4202064067484,49.63495114714799,45.19287158522805,0.628893775608241,1.7292716580891667,0.008266032075589614,4.667383336646194
0.6002000666888964,996.6284774663561,0.0498163870172694,0.04432080968689137,0.0007340374534873049,0.0020637226767307023,1.168432115594098e-05,0.005548132805377339,995.7061374893384,0.4981395040358694,0.4432072570195981,0.0073404619501974125,0.02063718802865563,0.00011683486347477072,0.05548139448207111,991.6339921323631,2.934978984672479,1.8234073062981462,0.029787473706725288,0.08369275204426449,0.00047177386855793075,0.22502631800366094,945.558207171332,24.840434579476153,22.15852145322485,0.3670128386458979,1.0318320492282427,0.0058416489460754225,2.773995510221295,894.5254152489011,49.544895443975584,44.3132825405914,0.7340044136246087,2.063608211261834,0.011683132369381215,5.547838904911034
0.7002334111370457,996.0843479047825,0.04976189625620113,0.04346901880218431,0.0008331501513842025,0.0023941664528912216,1.561218398985223e-05,0.006412262657814119,995.1585207935317,0.4975909466409282,0.4346891183333284,0.008331588342911688,0.023941619997712733,0.00015611333568896134,0.0641226798624223,991.0748526094224,2.9238039013012505,1.7966105928628417,0.033891291699462776,0.09730787272729052,0.0006313635889741385,0.26065712167174643,944.8313460643251,24.80305335800098,21.731999354716088,0.4165633837916236,1.1970381279082036,0.007805510739230108,3.2060176934510602,893.6371904606593,49.449763989728986,43.458980990047394,0.8330938044863545,2.3939886130664725,0.01561072058936679,6.411797358573699
0.8002667555851951,995.5405384191424,0.04970138288255598,0.042642016201554896,0.0009265822875222661,0.002720640090219768,2.0020997411751683e-05,0.007260421190336386,994.6112859018567,0.49698226671533635,0.4264188463885598,0.00926589946240844,0.027206353436005554,0.00020020214984993234,0.07260424131091177,990.5162268183868,2.9125518977238958,1.7705056959571817,0.03778325457730485,0.11081827478165203,0.0008109309736806561,0.2957894021230689,944.108027877449,24.762958804200714,21.317797096948023,0.4632715127133759,1.360254485451697,0.01000985667607281,3.630040860772057,892.755336172174,49.34979788209057,42.62916863784757,0.926494974613146,2.7203797795596745,0.020019210760431273,7.2597315742936885
0.9003001000333445,994.9970486075247,0.049635122812106004,0.04183901006525624,0.0010146493148423218,0.0030431204436788925,2.4882891733543896e-05,0.008093072016986485,994.0644304208438,0.496316220912857,0.41838852132167836,0.010146554124876007,0.030431153927930117,0.000248822190887258,0.08093071631550983,989.9581084471865,2.9012297016779214,1.7450713568976814,0.041474658023034634,0.12422121842014734,0.001009433136335314,0.33043601382041,943.3881498836132,24.720277862101362,20.915523552746166,0.5072950303571166,1.5214688512434418,0.012440721532110049,4.046295490581354,891.8796630433798,49.24522944399348,41.82307313896511,1.0145232449958532,3.042756048909351,0.024880654044429476,8.092099642907103
1.000333444481494,994.4538780754449,0.04956338218098125,0.04105923351792402,0.0010976508154620125,0.003361590601723113,3.0171456942602753e-05,0.008910664696946595,993.5179520332438,0.495595464230435,0.4105904824015309,0.010976544179110467,0.03361585366609519,0.00030170971559490977,0.08910659642559676,989.4004914006339,2.8898437604750145,1.7202870247026771,0.044976188895839854,0.13751427713711922,0.0012258845164819392,0.3646094129850342,942.6716128411255,24.67513280720337,20.524800389239594,0.5487833307177749,1.6806723621044135,0.015084915627940532,4.455004811510996,891.0099880429582,49.13628252648754,41.039947250330854,1.0974771429192578,3.361098643612581,0.03016865214291086,8.909345340514522
