Time,Susceptible_S,Exposed_E,Infected_I,Hospitalized_H,HomeCare_M,Recovered_R,Deaths_D,Living_NL
0.0,995.0,3.0,2.0,0.0,0.0,0.0,0.0,1000.0
0.1000667111407605,994.4501494438505,2.9767969071318223,1.9684938666286178,0.005419218176415751,0.014167652567069325,0.00024968083404428395,0.0389278122758175,999.4152767691884
0.200133422281521,993.9006995652444,2.9537450536755103,1.9377083055669522,0.010134550237423521,0.028236205947552818,0.0009548073593458182,0.07726743289487704,998.8314784880313
0.3002001334222815,993.3516480101109,2.930844959206103,1.907623304622683,0.014234749660568494,0.042185224202724594,0.0020558357814839524,0.1150314055204853,998.2485920835844
0.400266844563042,992.8029925039883,2.9080970663914156,1.8782194493836526,0.01779745355142228,0.055997525646862084,0.00350073063801583,0.15223203452285347,997.6666047295997
0.5003335557038026,992.2547308476417,2.8855017455636154,1.8494779058324775,0.020890594771846033,0.0696587507637729,0.005244009072241041,0.18888137776492125,997.0855038536456
0.600400266844563,991.7068609135504,2.863059298250467,1.8213804052752252,0.023573463471964033,0.08315703807545496,0.007246022451781288,0.22499124251475627,996.5052771410753
0.7004669779853235,991.1593806410427,2.840769962095803,1.793909222230464,0.025898115806543397,0.09648259465051907,0.009472003107632758,0.26057318135002966,995.9259125389336
0.800533689126084,990.6122880339465,2.8186339133247165,1.7670471618015486,0.027909957563587908,0.10962751921333952,0.011891669525883965,0.2956384926208045,995.3473982553754
0.9006004002668445,990.0655811570368,2.7966512704079194,1.7407775419498215,0.02964869404800782,0.12258551339298002,0.01447858367548324,0.3301982194431968,994.769722760511
1.0006671114076051,989.5192581330831,2.774822097161696,1.715084177531825,0.0311490588753818,0.1353516608945072,0.017209658006580503,0.36426315039969437,994.192874785553
1.1007338225483656,988.9733171402167,2.7531464055486845,1.6899513651899187,0.03244141986498847,0.14792224446641147,0.02006474565309704,0.3978438212680697,993.6168433209399
1.200800533689126,988.4277564094233,2.731624158364836,1.665363868498946,0.033552333424049195,0.16029457873990374,0.023026265510510673,0.43095051724523403,993.0416176139616
1.3008672448298866,987.8825742222684,2.7102552717087804,1.6413069037084564,0.03450500839435266,0.17246687092225285,0.026078888608987473,0.4635932759501903,992.4671871656112
1.400933955970647,987.3377689087207,2.689039617356129,1.6177661257964244,0.035319734753645304,0.18443809227874736,0.029209248277372916,0.49578189067980877,991.893541727183
1.5010006671114076,986.7933388451575,2.667977024960658,1.5947276150441954,0.03601424435824684,0.19620787050023533,0.03240569631353822,0.5275259142035732,991.3206712963344
1.601067378252168,986.2492824524696,2.64706728415685,1.572177863967549,0.03660403805159594,0.20777639237815843,0.03565808192046848,0.5588346627644332,990.7485661129442
1.7011340893929285,985.7055981943162,2.6263101465185734,1.5501037647150964,0.03710265922157106,0.21914432292048885,0.03895756689305406,0.58971722046937,990.1772166545849
1.801200800533689,985.1622845754649,2.6057053274284745,1.5284925968284686,0.03752194028858819,0.23031273274095307,0.042296459124298975,0.6201824437993909,989.6066136318756
1.9012675116744495,984.6193401402317,2.585252507848264,1.5073320153886876,0.03787221781609377,0.24128303504817541,0.045668067347938844,0.6502389662784457,989.0367479836808
2.0013342228152102,984.076763471007,2.5649513359996643,1.4866100395285138,0.03816252085036696,0.25205693081440383,0.04906657399814329,0.6798952032553696,988.4676108721982
2.1014009339559707,983.5345531868641,2.5448014289607985,1.4663150413029797,0.03840073492653566,0.26263636137164426,0.05248692453617481,0.7091593567727859,987.8991936779622
2.201467645096731,982.9927079422549,2.524802374172244,1.4464357349303936,0.03859373905140099,0.27302346926422616,0.05592473506497149,0.7380394205494658,987.3314879947383
2.3015343562374917,982.4512264257285,2.5049537309106773,1.4269611663017583,0.03874754452060887,0.2832205584535593,0.05937619869140289,0.7665431847735046,986.7644856246064
2.401601067378252,981.9101073587685,2.4852550316452886,1.4078807028996616,0.0388673925735688,0.2932300671452973,0.06283801975082062,0.7946782411640122,986.1981785727831
2.5016677785190127,981.3693494946403,2.465705783373947,1.3891840239553326,0.038957859165570936,0.30305453834204166,0.06630734320255148,0.8224519877953417,985.6325590426796
2.601734489659773,980.8289516173246,2.4463054688699173,1.3708611109679238,0.039022932567927306,0.3126965987009752,0.0697817024143911,0.849871634041736,985.0676194308458
2.7018012008005337,980.2889125404771,2.427053547894892,1.3529022384764846,0.039066090586435495,0.3221589374344213,0.07325896719619229,0.8769442053705439,984.5033523220656
2.801867911941294,979.7492311064443,2.4079494583499823,1.3352979651397816,0.03909036372115282,0.33144428947148247,0.07673730134338066,0.9036765481232607,983.9397504844702
2.9019346230820546,979.2099061853186,2.3889926173812843,1.3180391250887278,0.039098392031383745,0.3405554204874389,0.08021512443353475,0.9300753342077653,983.376806864741
3.002001334222815,978.6709366740313,2.3701824224410486,1.3011168195321272,0.0390924746693669,0.34949511412751505,0.08369107857874891,0.9561470657267621,982.8145145833802
3.1020680453635756,978.1323214954891,2.3515182522981095,1.2845224086507985,0.03907461103104748,0.358266161740239,0.08716400084467414,0.9818980795341543,982.2528669300541
3.202134756504336,977.5940595977337,2.3329994680201738,1.2682475037010466,0.03904654132604257,0.36687135222818695,0.09063289605515011,1.007334551669206,981.6918573590641
3.3022014676450966,977.0561499531481,2.3146254139013758,1.252283959411333,0.03900977657811238,0.37531346508386787,0.09409691674421967,1.0324625017433613,981.131479484867
3.402268178785857,976.5185915576775,2.296395418369174,1.2366238665595923,0.03896563040616886,0.3835952628203977,0.09755534189556883,1.0572877971926273,980.5717270777286
3.5023348899266176,975.981383430097,2.2783087948391145,1.221259544837349,0.038915241373718774,0.3917194862368948,0.10100756205891524,1.0818161574721392,980.012594059443
3.602401601067378,975.4445246112894,2.2603648425524128,1.2061835358736694,0.038859597555289185,0.39968884894969303,0.10445306295901893,1.1060531581235866,979.4540744991796
3.7024683122081385,974.9080141635629,2.242562847366555,1.1913885965312203,0.038799553743099575,0.4075060341211796,0.10789141407903698,1.1300042347676318,978.896162609404
3.802535023348899,974.371851169984,2.224902082527197,1.1768676923625545,0.03873584991509741,0.4151736907501974,0.11132225638368877,1.1536746869810512,978.3388527419227
3.9026017344896595,973.8360347337398,2.2073818094018898,1.1626139913018587,0.03866912486912542,0.4226944313888813,0.11474529330746214,1.1770696820894544,977.782139384009
4.0026684456304205,973.3005639775187,2.1900012781913496,1.1486208575291876,0.03859992974564751,0.43007082984246137,0.11816028181191547,1.2001942588545627,977.2260171546392
4.102735156771181,972.7654380429152,2.172759728610938,1.1348818455342304,0.03852873903113811,0.43730541958953423,0.12156702514183088,1.2230533310698841,976.6704808008228
