phi_1,epsilon_1_eq_epsilon_2,a
0.02,0.0,-0.13404267086161484
0.03576271186440678,0.0,-0.14233848435393523
0.05152542372881355,0.0,-0.1492186370083418
0.06728813559322033,0.0,-0.15501700957818587
0.08305084745762711,0.0,-0.1599701419000888
0.0988135593220339,0.0,-0.16425029693397555
0.11457627118644066,0.0,-0.16798590498698115
0.13033898305084743,0.0,-0.17127467151877462
0.1461016949152542,0.0,-0.17419224665258523
0.161864406779661,0.0,-0.1767981160053917
0.17762711864406777,0.0,-0.17913969918152955
0.19338983050847455,0.0,-0.1812552614471433
0.2091525423728813,0.0,-0.1831760210768226
0.2249152542372881,0.0,-0.18492770018405957
0.24067796610169487,0.0,-0.1865316832683988
0.25644067796610165,0.0,-0.18800589456248246
0.27220338983050846,0.0,-0.18936547071072657
0.2879661016949152,0.0,-0.19062328239772433
0.303728813559322,0.0,-0.19179034307030407
0.3194915254237288,0.0,-0.19287613227214268
0.3352542372881356,0.0,-0.19388885370233988
0.35101694915254233,0.0,-0.19483564287202185
0.36677966101694914,0.0,-0.19572273548170882
0.3825423728813559,0.0,-0.1965556049226933
0.39830508474576265,0.0,-0.19733907531202147
0.41406779661016946,0.0,-0.19807741499381323
0.4298305084745762,0.0,-0.19877441433489795
0.445593220338983,0.0,-0.1994334508087664
0.4613559322033898,0.0,-0.2000575437268404
0.4771186440677966,0.0,-0.20064940048867141
0.49288135593220334,0.0,-0.20121145584571334
0.5086440677966101,0.0,-0.20174590537967718
0.5244067796610169,0.0,-0.20225473416616882
0.5401694915254237,0.0,-0.2027397414125443
0.5559322033898304,0.0,-0.2032025617145429
0.5716949152542372,0.0,-0.20364468346096037
0.587457627118644,0.0,-0.2040674648230151
0.6032203389830508,0.0,-0.2044721476902874
0.6189830508474575,0.0,-0.20485986985444676
0.6347457627118643,0.0,-0.20523167569252249
0.6505084745762711,0.0,-0.20558852556096377
0.6662711864406778,0.0,-0.20593130407841584
0.6820338983050847,0.0,-0.2062608274476185
0.6977966101694915,0.0,-0.20657784994400968
0.7135593220338983,0.0,-0.2068830696796148
0.729322033898305,0.0,-0.2071771337349327
0.7450847457627118,0.0,-0.2074606427382134
0.7608474576271186,0.0,-0.2077341549603276
0.7766101694915253,0.0,-0.20799818998397474
0.7923728813559321,0.0,-0.2082532319979725
0.8081355932203389,0.0,-0.20849973276057246
0.8238983050847457,0.0,-0.2087381142699592
0.8396610169491524,0.0,-0.2089687711751409
0.8554237288135592,0.0,-0.20919207295620723
0.871186440677966,0.0,-0.20940836589928977
